service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
11SEPB-UPE-Samedi-00,0,0,0,0,0,1,0,20110829,20120708        
11SEPW-A-D-Semaine-08,1,1,1,1,1,0,0,20110829,20120624 
11SEPW-A-D-Samedi-00,0,0,0,0,0,1,0,20110829,20120624
11SEPW-A-D-Dimanche-00,0,0,0,0,0,0,1,20110829,20120624   
11SEPB-UPE-Semaine-00,1,1,1,1,1,0,0,20110829,20120708
11SEPB-UPE-Dimanche-00,0,0,0,0,0,0,1,20110829,20120708  
11SEPW-B-F-Dimanche-00,0,0,0,0,0,0,1,20110829,20120624   
11SEPW-B-F-Samedi-00,0,0,0,0,0,1,0,20110829,20120624 
11SEPW-B-F-Semaine-01,1,1,1,1,1,0,0,20110829,20120624       
11SEPB-UPC-Dimanche-00,0,0,0,0,0,0,1,20110829,20120708    
11SEPB-UPC-Samedi-00,0,0,0,0,0,1,0,20110829,20120708 
11SEPB-UPC-Semaine-00,1,1,1,1,1,0,0,20110829,20120708 
11SEPW-C-E-Samedi-00,0,0,0,0,0,1,0,20110829,20120624 
11SEPW-C-E-Dimanche-00,0,0,0,0,0,0,1,20110829,20120624
11SEPW-C-E-Semaine-03,1,1,1,1,1,0,0,20110829,20120624  
11SEPB-UPK-Samedi-00,0,0,0,0,0,1,0,20110829,20120708     
11SEPB-UPK-Dimanche-00,0,0,0,0,0,0,1,20110829,20120708
11SEPB-UPK-Semaine-50,1,1,1,1,1,0,0,20110829,20120708
11SEPB-71-72-Semaine-00,1,1,1,1,1,0,0,20110829,20120708    
11SEPB-71-72-Samedi-00,0,0,0,0,0,1,0,20110829,20120708      
11SEPB-71-72-Dimanche-00,0,0,0,0,0,0,1,20110829,20120708  
11SEPB-21-Semaine-00,1,1,1,1,1,0,0,20110829,20120708   
11SEPB-21-Samedi-00,0,0,0,0,0,1,0,20110829,20120708  
11SEPB-21-Dimanche-00,0,0,0,0,0,0,1,20110829,20120708 
11SEPB-27-Semaine-00,1,1,1,1,1,0,0,20110829,20120708    
11SEPB-27-Samedi-00,0,0,0,0,0,1,0,20110829,20120708  
11SEPB-31-Semaine-00,1,1,1,1,1,0,0,20110829,20120708 
11SEPB-31-Samedi-00,0,0,0,0,0,1,0,20110829,20120708   
11SEPB-31-Dimanche-00,0,0,0,0,0,0,1,20110829,20120708     

11PVSB-UPK-Semaine-00,0,0,0,0,0,0,0,20110829,20120708
11PVSB-UPE-Semaine-00,0,0,0,0,0,0,0,20110829,20120708
11PVSB-UPC-Semaine-00,0,0,0,0,0,0,0,20110829,20120708
11PVSB-71-72-Semaine-00,0,0,0,0,0,0,0,20110829,20120708

12ETEB-21-Dimanche-00,0,0,0,0,0,0,1,20120709,20120902  
12ETEB-21-Samedi-00,0,0,0,0,0,1,0,20120709,20120902 
12ETEB-21-Semaine-00,1,1,1,1,1,0,0,20120709,20120902  
12ETEB-27-Samedi-00,0,0,0,0,0,1,0,20120709,20120902    
12ETEB-27-Semaine-00,1,1,1,1,1,0,0,20120709,20120902
12ETEB-31-Dimanche-00,0,0,0,0,0,0,1,20120709,20120902
12ETEB-31-Samedi-00,0,0,0,0,0,1,0,20120709,20120902  
12ETEB-31-Semaine-00,1,1,1,1,1,0,0,20120709,20120902  
12ETEB-71-72-Dimanche-00,0,0,0,0,0,0,1,20120709,20120902  
12ETEB-71-72-Samedi-00,0,0,0,0,0,1,0,20120709,20120902  
12ETEB-71-72-Semaine-00,1,1,1,1,1,0,0,20120709,20120902
12ETEB-UPE-Dimanche-00,0,0,0,0,0,0,1,20120709,20120902
12ETEB-UPE-Samedi-00,0,0,0,0,0,1,0,20120709,20120902
12ETEB-UPE-Semaine-00,1,1,1,1,1,0,0,20120709,20120902
12ETEB-UPK-Dimanche-00,0,0,0,0,0,0,1,20120709,20120902
12ETEB-UPK-Samedi-00,0,0,0,0,0,1,0,20120709,20120902
12ETEB-UPK-Semaine-00,1,1,1,1,1,0,0,20120709,20120902  
12ETEW-A-D-Semaine-02,1,1,1,1,1,0,0,20120625,20120715
12ETEW-A-D-Semaine-04,1,1,1,1,1,0,0,20120820,20120902
12ETEW-A-D-Semaine-03,1,1,1,1,1,0,0,20120716,20120819   
12ETEW-A-D-Samedi-01,0,0,0,0,0,1,0,20120625,20120715
12ETEW-A-D-Samedi-02,0,0,0,0,0,1,0,20120820,20120902
12ETEW-A-D-Samedi-00,0,0,0,0,0,1,0,20120716,20120819   
12ETEW-A-D-Dimanche-03,0,0,0,0,0,0,1,20120625,20120715
12ETEW-A-D-Dimanche-01,0,0,0,0,0,0,1,20120716,20120902 
12ETEW-B-F-Dimanche-02,0,0,0,0,0,0,1,20120625,20120715
12ETEW-B-F-Dimanche-00,0,0,0,0,0,0,1,20120716,20120902
12ETEW-B-F-Samedi-01,0,0,0,0,0,1,0,20120625,20120715
12ETEW-B-F-Samedi-04,0,0,0,0,0,1,0,20120820,20120902   
12ETEW-B-F-Samedi-02,0,0,0,0,0,1,0,20120716,20120819
12ETEW-B-F-Semaine-00,1,1,1,1,1,0,0,20120625,20120715
12ETEW-B-F-Semaine-10,1,1,1,1,1,0,0,20120820,20120902
12ETEW-B-F-Semaine-01,1,1,1,1,1,0,0,20120716,20120819
12ETEW-C-E-Dimanche-00,0,0,0,0,0,0,1,20120625,20120715
12ETEW-C-E-Dimanche-01,0,0,0,0,0,0,1,20120716,20120902
12ETEW-C-E-Samedi-02,0,0,0,0,0,1,0,20120625,20120715
12ETEW-C-E-Samedi-03,0,0,0,0,0,1,0,20120716,20120902
12ETEW-C-E-Semaine-02,1,1,1,1,1,0,0,20120625,20120715
12ETEW-C-E-Semaine-01,1,1,1,1,1,0,0,20120716,20120902
12ETEB-UPC-Dimanche-00,0,0,0,0,0,0,1,20120709,20120902
12ETEB-UPC-Samedi-00,0,0,0,0,0,1,0,20120709,20120902
12ETEB-UPC-Semaine-00,1,1,1,1,1,0,0,20120709,20120902

