service_id,date,exception_type
11SEPB-UPE-Samedi-00,20120501,2
11SEPW-A-D-Semaine-08,20120501,2
11SEPW-A-D-Samedi-00,20120501,2
11SEPW-A-D-Dimanche-00,20120501,2
11SEPB-UPE-Semaine-00,20120501,2
11SEPB-UPE-Dimanche-00,20120501,2 
11SEPW-B-F-Dimanche-00,20120501,2
11SEPW-B-F-Samedi-00,20120501,2
11SEPW-B-F-Semaine-01,20120501,2   
11SEPB-UPC-Dimanche-00,20120501,2
11SEPB-UPC-Samedi-00,20120501,2
11SEPB-UPC-Semaine-00,20120501,2
11SEPW-C-E-Samedi-00,20120501,2
11SEPW-C-E-Dimanche-00,20120501,2
11SEPW-C-E-Semaine-03,20120501,2
11SEPB-UPK-Samedi-00,20120501,2
11SEPB-UPK-Dimanche-00,20120501,2
11SEPB-UPK-Semaine-50,20120501,2
11SEPB-71-72-Semaine-00,20120501,2
11SEPB-71-72-Samedi-00,20120501,2  
11SEPB-71-72-Dimanche-00,20120501,2 
11SEPB-21-Semaine-00,20120501,2
11SEPB-21-Samedi-00,20120501,2
11SEPB-21-Dimanche-00,20120501,2
11SEPB-27-Semaine-00,20120501,2
11SEPB-27-Samedi-00,20120501,2
11SEPB-31-Semaine-00,20120501,2
11SEPB-31-Samedi-00,20120501,2
11SEPB-31-Dimanche-00,20120501,2

11SEPB-UPC-Dimanche-00,20111111,1
11SEPB-UPC-Semaine-00,20111111,2
11SEPW-A-D-Dimanche-00,20111111,1
11SEPW-A-D-Semaine-08,20111111,2
11SEPB-UPE-Dimanche-00,20111111,1
11SEPB-UPE-Semaine-00,20111111,2
11SEPW-B-F-Dimanche-01,20111111,1 
11SEPW-B-F-Semaine-01,20111111,2  
11SEPW-C-E-Dimanche-00,20111111,1
11SEPW-C-E-Semaine-03,20111111,2
11SEPB-UPK-Dimanche-00,20111111,1
11SEPB-UPK-Semaine-50,20111111,2
11SEPB-71-72-Dimanche-00,20111111,1
11SEPB-71-72-Semaine-00,20111111,2
11SEPB-21-Semaine-00,20111111,2
11SEPB-21-Samedi-00,20111111,2
11SEPB-21-Dimanche-00,20111111,2
11SEPB-27-Semaine-00,20111111,2
11SEPB-27-Samedi-00,20111111,2
11SEPB-31-Semaine-00,20111111,2
11SEPB-31-Samedi-00,20111111,2
11SEPB-31-Dimanche-00,20111111,2

11SEPB-UPC-Dimanche-00,20120409,1
11SEPB-UPC-Semaine-00,20120409,2
11SEPW-A-D-Dimanche-00,20120409,1
11SEPW-A-D-Semaine-08,20120409,2
11SEPB-UPE-Dimanche-00,20120409,1
11SEPB-UPE-Semaine-00,20120409,2
11SEPW-B-F-Dimanche-01,20120409,1 
11SEPW-B-F-Semaine-01,20120409,2  
11SEPW-C-E-Dimanche-00,20120409,1
11SEPW-C-E-Semaine-03,20120409,2
11SEPB-UPK-Dimanche-00,20120409,1
11SEPB-UPK-Semaine-50,20120409,2
11SEPB-71-72-Dimanche-00,20120409,1
11SEPB-71-72-Semaine-00,20120409,2
11SEPB-21-Semaine-00,20120409,2
11SEPB-21-Samedi-00,20120409,2
11SEPB-21-Dimanche-00,20120409,2
11SEPB-27-Semaine-00,20120409,2
11SEPB-27-Samedi-00,20120409,2
11SEPB-31-Semaine-00,20120409,2
11SEPB-31-Samedi-00,20120409,2
11SEPB-31-Dimanche-00,20120409,2

11SEPB-UPC-Dimanche-00,20120508,1
11SEPB-UPC-Semaine-00,20120508,2
11SEPW-A-D-Dimanche-00,20120508,1
11SEPW-A-D-Semaine-08,20120508,2
11SEPB-UPE-Dimanche-00,20120508,1
11SEPB-UPE-Semaine-00,20120508,2
11SEPW-B-F-Dimanche-01,20120508,1 
11SEPW-B-F-Semaine-01,20120508,2  
11SEPW-C-E-Dimanche-00,20120508,1
11SEPW-C-E-Semaine-03,20120508,2
11SEPB-UPK-Dimanche-00,20120508,1
11SEPB-UPK-Semaine-50,20120508,2
11SEPB-71-72-Dimanche-00,20120508,1
11SEPB-71-72-Semaine-00,20120508,2
11SEPB-21-Semaine-00,20120508,2
11SEPB-21-Samedi-00,20120508,2
11SEPB-21-Dimanche-00,20120508,2
11SEPB-27-Semaine-00,20120508,2
11SEPB-27-Samedi-00,20120508,2
