route_id,service_id,trip_id,trip_headsign,block_id
10-26,11SEPB-UPE-Samedi-00,4356391-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395202
10-26,11SEPB-UPE-Samedi-00,4356392-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395201
10-26,11SEPB-UPE-Samedi-00,4356393-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395202
10-26,11SEPB-UPE-Samedi-00,4356394-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395201
10-26,11SEPB-UPE-Samedi-00,4356395-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395202
10-26,11SEPB-UPE-Samedi-00,4356396-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395201
10-26,11SEPB-UPE-Samedi-00,4356397-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395202
10-26,11SEPB-UPE-Samedi-00,4356398-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395201
10-26,11SEPB-UPE-Samedi-00,4356399-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395202
10-26,11SEPB-UPE-Samedi-00,4356400-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395201
10-26,11SEPB-UPE-Samedi-00,4356401-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395202
10-26,11SEPB-UPE-Samedi-00,4356402-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395201
10-26,11SEPB-UPE-Samedi-00,4356403-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395202
10-26,11SEPB-UPE-Samedi-00,4356404-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395201
10-26,11SEPB-UPE-Samedi-00,4356405-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395202
10-26,11SEPB-UPE-Samedi-00,4356406-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395201
10-26,11SEPB-UPE-Samedi-00,4356407-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395202
10-26,11SEPB-UPE-Samedi-00,4356408-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395201
10-26,11SEPB-UPE-Samedi-00,4356409-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395202
10-26,11SEPB-UPE-Samedi-00,4356410-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395201
10-26,11SEPB-UPE-Samedi-00,4356411-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395202
10-26,11SEPB-UPE-Samedi-00,4356412-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395201
10-26,11SEPB-UPE-Samedi-00,4356413-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395202
10-26,11SEPB-UPE-Samedi-00,4356414-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395201
10-26,11SEPB-UPE-Samedi-00,4356415-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395202
10-26,11SEPB-UPE-Samedi-00,4356416-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395201
10-26,11SEPB-UPE-Samedi-00,4356417-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395202
10-26,11SEPB-UPE-Samedi-00,4356418-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395201
10-26,11SEPB-UPE-Samedi-00,4356419-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395202
10-26,11SEPB-UPE-Samedi-00,4356420-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395201
10-26,11SEPB-UPE-Samedi-00,4356421-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395201
10-26,11SEPB-UPE-Samedi-00,4356422-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395201
10-26,11SEPB-UPE-Samedi-00,4356423-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395202
10-26,11SEPB-UPE-Samedi-00,4356424-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395201
10-26,11SEPB-UPE-Samedi-00,4356425-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395202
10-26,11SEPB-UPE-Samedi-00,4356426-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395201
10-26,11SEPB-UPE-Samedi-00,4356427-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395202
10-26,11SEPB-UPE-Samedi-00,4356428-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395201
10-26,11SEPB-UPE-Samedi-00,4356429-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395202
10-26,11SEPB-UPE-Samedi-00,4356430-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395201
10-26,11SEPB-UPE-Samedi-00,4356431-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395202
10-26,11SEPB-UPE-Samedi-00,4356432-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395201
10-26,11SEPB-UPE-Samedi-00,4356433-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395202
10-26,11SEPB-UPE-Samedi-00,4356434-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395201
10-26,11SEPB-UPE-Samedi-00,4356435-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395202
10-26,11SEPB-UPE-Samedi-00,4356436-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395201
10-26,11SEPB-UPE-Samedi-00,4356437-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395202
10-26,11SEPB-UPE-Samedi-00,4356438-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395201
10-26,11SEPB-UPE-Samedi-00,4356439-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395202
10-26,11SEPB-UPE-Samedi-00,4356440-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395201
10-26,11SEPB-UPE-Samedi-00,4356441-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395202
10-26,11SEPB-UPE-Samedi-00,4356442-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395201
10-26,11SEPB-UPE-Samedi-00,4356443-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395202
10-26,11SEPB-UPE-Samedi-00,4356444-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395203
10-26,11SEPB-UPE-Samedi-00,4356445-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395203
10-26,11SEPB-UPE-Samedi-00,4356446-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395203
10-26,11SEPB-UPE-Samedi-00,4356447-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395203
10-26,11SEPB-UPE-Samedi-00,4356448-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395203
10-26,11SEPB-UPE-Samedi-00,4356449-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395203
10-26,11SEPB-UPE-Samedi-00,4356450-11SEPB-UPE-Samedi-00,"Gare Centrale/Corbeau (ext)",395203
10-26,11SEPB-UPE-Samedi-00,4356457-11SEPB-UPE-Samedi-00,"Gare Centrale/Brant (int)",395206
10-26,11SEPB-UPE-Samedi-00,4356458-11SEPB-UPE-Samedi-00,"Gare Centrale/Brant (int)",395204
10-26,11SEPB-UPE-Samedi-00,4356459-11SEPB-UPE-Samedi-00,"Gare Centrale/Brant (int)",395205
